car_no,CAR BRAND NAME,car_status,listed,First Listing Date,Sale date,Days
Car No-1216,Brand-F,Sold,TRUE,2021-04-28,2021-05-21,23
Car No-1217,Brand-C,Not Sold,TRUE,2021-05-01,,
Car No-1218,Brand-I,Not Sold,TRUE,2021-05-26,,
Car No-1219,Brand-K,Not Sold,TRUE,2021-05-11,,
Car No-1220,Brand-J,Not Sold,TRUE,2021-05-28,,
Car No-1221,Brand-B,Not Sold,TRUE,2021-06-18,,
Car No-1222,Brand-D,Not Sold,TRUE,2021-06-09,,
Car No-1223,Brand-L,Not Sold,TRUE,2021-06-09,,
Car No-1224,Brand-C,Not Sold,FALSE,,,
Car No-1225,Brand-B,Not Sold,FALSE,,,
Car No-1226,Brand-E,Sold,TRUE,2020-08-11,2020-08-27,16
Car No-1227,Brand-M,Not Sold,FALSE,,,
Car No-1228,Brand-B,Sold,TRUE,2020-08-13,2020-09-15,33
Car No-1229,Brand-B,Not Sold,FALSE,,,
Car No-1230,Brand-C,Sold,TRUE,2020-08-21,2021-01-12,144
Car No-1231,Brand-E,Sold,TRUE,2020-09-16,2020-12-10,85
Car No-1232,Brand-K,Sold,TRUE,2020-10-03,2020-10-28,25
Car No-1233,Brand-B,Sold,TRUE,2020-10-16,2021-01-26,102
Car No-1234,Brand-B,Sold,TRUE,2020-10-23,2021-03-17,145
Car No-1235,Brand-B,Not Sold,TRUE,2020-11-24,,
Car No-1236,Brand-I,Sold,TRUE,2020-12-05,2020-12-21,16
Car No-1237,Brand-B,Not Sold,TRUE,2020-12-16,,
Car No-1238,Brand-B,Sold,TRUE,2020-12-31,2021-02-19,50
Car No-1239,Brand-B,Sold,TRUE,2021-01-14,2021-02-28,45
Car No-1240,Brand-B,Not Sold,TRUE,2021-02-11,,
Car No-1241,Brand-J,Sold,TRUE,2021-02-23,2021-04-10,46
Car No-1242,Brand-K,Sold,TRUE,2021-03-03,2021-03-24,21
Car No-1243,Brand-C,Not Sold,TRUE,2021-03-07,,
Car No-1244,Brand-C,Sold,TRUE,2021-03-12,2021-04-13,32
Car No-1245,Brand-B,Sold,TRUE,2021-03-17,2021-04-09,23
Car No-1246,Brand-C,Not Sold,TRUE,2021-03-22,,
Car No-1247,Brand-N,Not Sold,TRUE,2021-03-26,,
Car No-1248,Brand-B,Not Sold,TRUE,2021-03-31,,
Car No-1249,Brand-I,Sold,TRUE,2021-04-03,2021-04-30,27
Car No-1250,Brand-I,Sold,TRUE,2021-04-08,2021-04-26,18
Car No-1251,Brand-B,Not Sold,TRUE,2021-04-16,,
Car No-1252,Brand-B,Not Sold,TRUE,2021-04-25,,
Car No-1253,Brand-B,Not Sold,TRUE,2021-05-18,,
Car No-1254,Brand-B,Not Sold,TRUE,2021-04-30,,
Car No-1255,Brand-J,Not Sold,TRUE,2021-05-05,,
Car No-1256,Brand-D,Not Sold,TRUE,2021-05-19,,
